Time,Timestamp,Pulse rate [bpm],spo2,ppg,strength,IBI,SDNN,SDSD,RMSSD,pNN20,pNN50
2022-08-05 12:32:42.768,1659673962.7689147,N,80,99,30,3,0,0,0,0,0,0
2022-08-05 12:32:42.784,1659673962.7847838,N,80,99,29,3,0,0,0,0,0,0
2022-08-05 12:32:42.801,1659673962.8013961,N,80,99,28,3,0,0,0,0,0,0
2022-08-05 12:32:42.817,1659673962.8172066,N,80,99,27,3,0,0,0,0,0,0
2022-08-05 12:32:42.833,1659673962.8339865,N,80,99,26,3,0,0,0,0,0,0
2022-08-05 12:32:42.850,1659673962.8507724,N,80,99,26,3,0,0,0,0,0,0
2022-08-05 12:32:42.866,1659673962.86682,N,80,99,25,3,0,0,0,0,0,0
2022-08-05 12:32:42.886,1659673962.8863275,N,80,99,25,3,0,0,0,0,0,0
2022-08-05 12:32:42.900,1659673962.900758,N,80,99,24,3,0,0,0,0,0,0
2022-08-05 12:32:42.917,1659673962.9171314,N,80,99,24,2,0,0,0,0,0,0
2022-08-05 12:32:42.934,1659673962.9340842,N,80,99,23,2,0,0,0,0,0,0
2022-08-05 12:32:42.953,1659673962.9532,N,80,99,22,2,0,0,0,0,0,0
2022-08-05 12:32:42.967,1659673962.9671073,N,80,99,22,2,0,0,0,0,0,0
2022-08-05 12:32:42.984,1659673962.9841032,N,80,99,22,2,0,0,0,0,0,0
2022-08-05 12:32:43.003,1659673963.0031307,N,80,99,22,2,0,0,0,0,0,0
2022-08-05 12:32:43.017,1659673963.0173914,N,80,99,23,3,0,0,0,0,0,0
2022-08-05 12:32:43.034,1659673963.0343778,N,80,99,27,3,0,0,0,0,0,0
2022-08-05 12:32:43.050,1659673963.0508695,N,80,99,32,4,0,0,0,0,0,0
2022-08-05 12:32:43.067,1659673963.0675888,N,80,99,39,5,0,0,0,0,0,0
2022-08-05 12:32:43.085,1659673963.08544,N,80,99,47,6,0,0,0,0,0,0
2022-08-05 12:32:43.099,1659673963.0999978,N,80,99,54,7,0,0,0,0,0,0
2022-08-05 12:32:43.117,1659673963.1170425,N,80,99,60,7,0,0,0,0,0,0
2022-08-05 12:32:43.135,1659673963.1357732,N,80,99,63,8,0,0,0,0,0,0
2022-08-05 12:32:43.149,1659673963.1499119,N,80,99,65,8,0,0,0,0,0,0
2022-08-05 12:32:43.167,1659673963.1677632,Y,80,99,64,7,0,0,0,0,0,0
2022-08-05 12:32:43.184,1659673963.1841297,N,78,99,62,7,0,0,0,0,0,0
2022-08-05 12:32:43.202,1659673963.202876,N,78,99,59,7,0,0,0,0,0,0
2022-08-05 12:32:43.218,1659673963.2182224,N,78,99,56,6,0,0,0,0,0,0
2022-08-05 12:32:43.233,1659673963.233888,N,78,99,53,6,0,0,0,0,0,0
2022-08-05 12:32:43.250,1659673963.2508862,N,78,99,51,6,0,0,0,0,0,0
2022-08-05 12:32:43.267,1659673963.2672656,N,78,99,48,5,0,0,0,0,0,0
2022-08-05 12:32:43.283,1659673963.2837777,N,78,99,46,5,0,0,0,0,0,0
2022-08-05 12:32:43.309,1659673963.3098042,N,78,99,44,5,0,0,0,0,0,0
2022-08-05 12:32:43.316,1659673963.3167863,N,78,99,42,5,0,0,0,0,0,0
2022-08-05 12:32:43.334,1659673963.3344479,N,78,99,41,5,0,0,0,0,0,0
2022-08-05 12:32:43.353,1659673963.3531923,N,78,99,41,5,0,0,0,0,0,0
2022-08-05 12:32:43.366,1659673963.366918,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:43.384,1659673963.3849466,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:43.403,1659673963.4034035,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:43.417,1659673963.4171724,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:43.436,1659673963.436287,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:43.452,1659673963.4529197,N,78,99,40,4,0,0,0,0,0,0
2022-08-05 12:32:43.467,1659673963.4678621,N,78,99,39,4,0,0,0,0,0,0
2022-08-05 12:32:43.485,1659673963.4850945,N,78,99,38,4,0,0,0,0,0,0
2022-08-05 12:32:43.501,1659673963.5017812,N,78,99,37,4,0,0,0,0,0,0
2022-08-05 12:32:43.517,1659673963.517095,N,78,99,36,4,0,0,0,0,0,0
2022-08-05 12:32:43.534,1659673963.5342293,N,78,99,35,4,0,0,0,0,0,0
2022-08-05 12:32:43.550,1659673963.5502899,N,78,99,34,4,0,0,0,0,0,0
2022-08-05 12:32:43.567,1659673963.5674224,N,78,99,33,4,0,0,0,0,0,0
2022-08-05 12:32:43.583,1659673963.5835223,N,78,99,32,3,0,0,0,0,0,0
2022-08-05 12:32:43.599,1659673963.599891,N,78,99,30,3,0,0,0,0,0,0
2022-08-05 12:32:43.619,1659673963.6192465,N,78,99,29,3,0,0,0,0,0,0
2022-08-05 12:32:43.634,1659673963.6340811,N,78,99,28,3,0,0,0,0,0,0
2022-08-05 12:32:43.652,1659673963.6525888,N,78,99,28,3,0,0,0,0,0,0
2022-08-05 12:32:43.667,1659673963.667326,N,78,99,27,3,0,0,0,0,0,0
2022-08-05 12:32:43.683,1659673963.6837358,N,78,99,26,3,0,0,0,0,0,0
2022-08-05 12:32:43.702,1659673963.702992,N,78,99,25,3,0,0,0,0,0,0
2022-08-05 12:32:43.716,1659673963.7167208,N,78,99,25,3,0,0,0,0,0,0
2022-08-05 12:32:43.735,1659673963.7351193,N,78,99,24,3,0,0,0,0,0,0
2022-08-05 12:32:43.751,1659673963.7516713,N,78,99,24,2,0,0,0,0,0,0
2022-08-05 12:32:43.767,1659673963.767513,N,78,99,23,2,0,0,0,0,0,0
2022-08-05 12:32:43.783,1659673963.7834682,N,78,99,23,2,0,0,0,0,0,0
2022-08-05 12:32:43.803,1659673963.8032181,N,78,99,22,2,0,0,0,0,0,0
2022-08-05 12:32:43.816,1659673963.8167968,N,78,99,22,2,0,0,0,0,0,0
2022-08-05 12:32:43.835,1659673963.835573,N,78,99,21,2,0,0,0,0,0,0
2022-08-05 12:32:43.850,1659673963.850475,N,78,99,21,2,0,0,0,0,0,0
2022-08-05 12:32:43.866,1659673963.8669224,N,78,99,21,2,0,0,0,0,0,0
2022-08-05 12:32:43.885,1659673963.8859978,N,78,99,21,2,0,0,0,0,0,0
2022-08-05 12:32:43.900,1659673963.900771,N,78,99,24,3,0,0,0,0,0,0
2022-08-05 12:32:43.917,1659673963.9179895,N,78,99,28,3,0,0,0,0,0,0
2022-08-05 12:32:43.934,1659673963.9349406,N,78,99,34,4,0,0,0,0,0,0
2022-08-05 12:32:43.950,1659673963.9506798,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:43.967,1659673963.9679475,N,78,99,48,6,0,0,0,0,0,0
2022-08-05 12:32:43.983,1659673963.9839058,N,78,99,54,7,0,0,0,0,0,0
2022-08-05 12:32:43.999,1659673963.999898,N,78,99,59,7,0,0,0,0,0,0
2022-08-05 12:32:44.016,1659673964.0168915,N,78,99,62,7,0,0,0,0,0,0
2022-08-05 12:32:44.033,1659673964.0338087,N,78,99,62,7,0,0,0,0,0,0
2022-08-05 12:32:44.050,1659673964.050172,N,78,99,61,7,0,0,0,0,0,0
2022-08-05 12:32:44.067,1659673964.0673742,N,78,99,59,7,0,0,0,0,0,0
2022-08-05 12:32:44.083,1659673964.0839522,N,78,99,56,6,0,0,0,0,0,0
2022-08-05 12:32:44.099,1659673964.0997155,N,78,99,53,6,0,0,0,0,0,0
2022-08-05 12:32:44.117,1659673964.1171067,N,78,99,51,6,0,0,0,0,0,0
2022-08-05 12:32:44.133,1659673964.1336164,N,78,99,48,5,0,0,0,0,0,0
2022-08-05 12:32:44.151,1659673964.15199,N,78,99,46,5,0,0,0,0,0,0
2022-08-05 12:32:44.168,1659673964.168646,N,78,99,44,5,0,0,0,0,0,0
2022-08-05 12:32:44.183,1659673964.1836054,N,78,99,42,5,0,0,0,0,0,0
2022-08-05 12:32:44.202,1659673964.202816,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:44.218,1659673964.2188716,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:44.233,1659673964.2339387,N,78,99,40,5,0,0,0,0,0,0
2022-08-05 12:32:44.250,1659673964.2508335,N,78,99,40,4,0,0,0,0,0,0
2022-08-05 12:32:44.266,1659673964.2668002,N,78,99,39,4,0,0,0,0,0,0
