Time,Pulse rate [bpm],spo2,ppg,strength,IBI,SDNN,SDSD,RMSSD,pNN20,pNN50
2022-08-01 00:13:13.702,1659283993.0,N,63,99,37,4,0,0,0,0,0,0
2022-08-01 00:13:13.717,1659283993.0,N,63,99,37,4,0,0,0,0,0,0
2022-08-01 00:13:13.734,1659283993.0,N,63,99,37,4,0,0,0,0,0,0
2022-08-01 00:13:13.751,1659283993.0,N,63,99,37,4,0,0,0,0,0,0
2022-08-01 00:13:13.769,1659283993.0,N,63,99,37,4,0,0,0,0,0,0
2022-08-01 00:13:13.786,1659283993.0,N,63,99,38,4,0,0,0,0,0,0
2022-08-01 00:13:13.802,1659283993.0,N,63,99,39,4,0,0,0,0,0,0
2022-08-01 00:13:13.819,1659283993.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:13.836,1659283993.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:13.851,1659283993.0,N,63,99,41,5,0,0,0,0,0,0
2022-08-01 00:13:13.869,1659283993.0,N,63,99,41,5,0,0,0,0,0,0
2022-08-01 00:13:13.885,1659283993.0,N,63,99,42,5,0,0,0,0,0,0
2022-08-01 00:13:13.902,1659283993.0,N,63,99,42,5,0,0,0,0,0,0
2022-08-01 00:13:13.919,1659283993.0,N,63,99,42,5,0,0,0,0,0,0
2022-08-01 00:13:13.936,1659283993.0,N,63,99,41,5,0,0,0,0,0,0
2022-08-01 00:13:13.951,1659283993.0,N,63,99,43,5,0,0,0,0,0,0
2022-08-01 00:13:13.968,1659283993.0,N,63,99,42,5,0,0,0,0,0,0
2022-08-01 00:13:13.986,1659283993.0,N,63,99,42,5,0,0,0,0,0,0
2022-08-01 00:13:14.002,1659283994.0,N,63,99,42,5,0,0,0,0,0,0
2022-08-01 00:13:14.019,1659283994.0,N,63,99,41,5,0,0,0,0,0,0
2022-08-01 00:13:14.035,1659283994.0,N,63,99,41,5,0,0,0,0,0,0
2022-08-01 00:13:14.052,1659283994.0,N,63,99,41,5,0,0,0,0,0,0
2022-08-01 00:13:14.069,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.085,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.102,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.118,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.133,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.150,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.167,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.184,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.201,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.217,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.253,1659283994.0,N,63,99,40,5,0,0,0,0,0,0
2022-08-01 00:13:14.257,1659283994.0,N,63,99,40,4,0,0,0,0,0,0
2022-08-01 00:13:14.266,1659283994.0,N,63,99,39,4,0,0,0,0,0,0
2022-08-01 00:13:14.283,1659283994.0,N,63,99,39,4,0,0,0,0,0,0
2022-08-01 00:13:14.300,1659283994.0,N,63,99,39,4,0,0,0,0,0,0
2022-08-01 00:13:14.316,1659283994.0,N,63,99,38,4,0,0,0,0,0,0
